Date,Title,URL
"July 27, 2023, 11:45","Meeting with Chairperson of the African Union, President of the Union of the Comoros Azali Assoumani and Chairperson of the African Union Commission Moussa Faki Mahamat",http://en.kremlin.ru/events/president/transcripts/71813
"July 26, 2023, 20:45",Meeting with President of Egypt Abdel Fattah el-Sisi,http://en.kremlin.ru/events/president/transcripts/71812
"July 23, 2023, 12:10",Meeting with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/71723
"July 4, 2023, 10:00",SCO Heads of State Council meeting,http://en.kremlin.ru/events/president/transcripts/71578
"June 28, 2023, 10:50",Video address to the final session of the 10th Forum of Russian and Belarusian Regions,http://en.kremlin.ru/events/president/transcripts/71540
"June 26, 2023, 13:20",Video address to the participants and guests of the 11th International Youth Industrial Forum “Engineers of the Future 2023”,http://en.kremlin.ru/events/president/transcripts/71524
"June 22, 2023, 14:50",Meeting with Prime Minister and Foreign Minister of Qatar Mohammed bin Abdulrahman Al-Thani,http://en.kremlin.ru/events/president/transcripts/71485
"June 17, 2023, 23:50",Meeting with President of South Africa Cyril Ramaphosa,http://en.kremlin.ru/events/president/transcripts/71453
"June 17, 2023, 21:15",Meeting with heads of delegations of African states,http://en.kremlin.ru/events/president/transcripts/71451
"June 16, 2023, 17:50",Plenary session of the St Petersburg International Economic Forum,http://en.kremlin.ru/events/president/transcripts/71445
"June 16, 2023, 12:15",Meeting with President of the UAE Mohamed Al Nahyan,http://en.kremlin.ru/events/president/transcripts/71444
"June 14, 2023, 15:50",Meeting with Prime Minister of Cuba Manuel Marrero Cruz,http://en.kremlin.ru/events/president/transcripts/71426
"June 9, 2023, 17:30",Conversation with Prime Minister of Armenia Nikol Pashinyan,http://en.kremlin.ru/events/president/transcripts/71328
"June 9, 2023, 16:15",Meeting with the heads of government of the CIS and EAEU states,http://en.kremlin.ru/events/president/transcripts/71327
"June 9, 2023, 14:30",Conversation with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/71326
"June 8, 2023, 11:00",Video address to the participants of the first International Forum of Ministers of Education,http://en.kremlin.ru/events/president/transcripts/71317
"May 25, 2023, 22:45",Meeting with President of Azerbaijan and Prime Minister of Armenia,http://en.kremlin.ru/events/president/transcripts/71207
"May 25, 2023, 21:40",Meeting with Prime Minister of Armenia Nikol Pashinyan,http://en.kremlin.ru/events/president/transcripts/71206
"May 25, 2023, 20:05",Meeting with President of Azerbaijan Ilham Aliyev,http://en.kremlin.ru/events/president/transcripts/71205
"May 25, 2023, 17:05",Meeting of the Supreme Eurasian Economic Council,http://en.kremlin.ru/events/president/transcripts/71204
"May 25, 2023, 15:05",Restricted attendance meeting of the Supreme Eurasian Economic Council,http://en.kremlin.ru/events/president/transcripts/71203
"May 24, 2023, 18:35",Plenary session of the Eurasian Economic Forum,http://en.kremlin.ru/events/president/transcripts/71198
"May 24, 2023, 09:45",Video address to the participants of the 11th International meeting of high representatives in charge of security issues,http://en.kremlin.ru/events/president/transcripts/71189
"May 17, 2023, 11:50",Ceremony for signing an intergovernmental agreement with Iran on cooperation in the construction of the Rasht-Astara railway line in Iran to boost transportation via the international North-South transport corridor,http://en.kremlin.ru/events/president/transcripts/71144
"May 8, 2023, 16:50",Meeting with President of Kyrgyzstan Sadyr Japarov,http://en.kremlin.ru/events/president/transcripts/71102
"April 29, 2023, 11:10","Video address to participants and guests of the ceremony to count down to the start of the first international tournament, Games of the Future",http://en.kremlin.ru/events/president/transcripts/71057
"April 5, 2023, 20:00",Meeting with President of Belarus Alexander Lukashenko,http://en.kremlin.ru/events/president/transcripts/70874
"April 5, 2023, 15:45",Vladimir Putin received letters of credence from 17 foreign ambassadors,http://en.kremlin.ru/events/president/transcripts/70868
